text,intent,,
turn off the light,0,,
deactivate the illumination,0,,
shut down the bulb,0,,
terminate the brightness,0,,
disable the glow,0,,
silence the light,0,,
power down the light,0,,
depower the bulb,0,,
shut off the current,0,,
disconnect the lamp,0,,
halt the electricity,0,,
stop the voltage,0,,
cut the light,0,,
sever the glow,0,,
slice the brightness,0,,
chop the beam,0,,
disconnect the bulb,0,,
interrupt the radiance,0,,
kill the light,0,,
murder the glow,0,,
destroy the brightness,0,,
eliminate the bulb,0,,
annihilate the beam,0,,
obliterate the radiance,0,,
disable the lamp,0,,
decommission the bulb,0,,
cripple the fixture,0,,
neutralize the light,0,,
incapacitate the glow,0,,
sabotage the brightness,0,,
extinguish the light,0,,
smother the glow,0,,
quench the brightness,0,,
snuff the bulb,0,,
douse the beam,0,,
stifle the radiance,0,,
switch off the light,0,,
toggle off the glow,0,,
flip off the brightness,0,,
shut off the bulb,0,,
deactivate the beam,0,,
power down the radiance,0,,
please turn the light off,0,,
kindly deactivate the glow,0,,
politely kill the brightness,0,,
gently silence the bulb,0,,
courteously disable the beam,0,,
respectfully terminate the radiance,0,,
light off,0,,
illumination terminated,0,,
brightness halted,0,,
glow deactivated,0,,
beam silenced,0,,
radiance stopped,0,,
can you shut off the light,0,,
could you kill the glow,0,,
would you silence the brightness,0,,
might you disable the bulb,0,,
are you able to terminate the beam,0,,
is it possible to stop the radiance,0,,
it's too bright,0,,
the glare is excessive,0,,
luminosity is overwhelming,0,,
radiance is overpowering,0,,
illumination is intense,0,,
brightness is unbearable,0,,
i'm going to sleep,0,,
bedtime approaches,0,,
slumber time has come,0,,
I'm retiring for the night,0,,
time to rest my eyes,0,,
entering sleep mode,0,,
no need of light,0,,
illumination unnecessary,0,,
brightness redundant,0,,
glow superfluous,0,,
radiance dispensable,0,,
luminosity unrequired,0,,
dark is better,0,,
darkness preferable,0,,
shadows superior,0,,
blackout improved,0,,
obscurity enhanced,0,,
gloom optimal,0,,
the light hurts my eyes,0,,
brightness causes ocular pain,0,,
glow induces discomfort,0,,
radiance stings vision,0,,
illumination strains sight,0,,
luminosity irritates optics,0,,
reduce brightness,0,,
dim the intensity,0,,
lower the luminance,0,,
decrease illumination,0,,
soften the glow,0,,
dampen the radiance,0,,
cut off the light,0,,
sever the illumination,0,,
disconnect the brightness,0,,
terminate the glow,0,,
halt the radiance,0,,
stop the luminosity,0,,
dim the room,0,,
lower room illumination,0,,
soften ambient light,0,,
reduce space brightness,0,,
subdue area glow,0,,
mute environment radiance,0,,
shut the light,0,,
close the illumination,0,,
seal the brightness,0,,
lock the glow,0,,
secure the radiance,0,,
block the luminosity,0,,
stop lighting,0,,
cease illumination,0,,
halt brightness,0,,
discontinue glow,0,,
end radiance,0,,
terminate luminosity,0,,
off the light,0,,
illumination disabled,0,,
brightness nullified,0,,
glow ceased,0,,
beam discontinued,0,,
radiance abolished,0,,
deactivate light,0,,
disable illumination,0,,
switch off brightness,0,,
power down glow,0,,
terminate radiance,0,,
halt luminosity,0,,
shut off light,0,,
kill the light,0,,
murder the glow,0,,
destroy the brightness,0,,
eliminate the bulb,0,,
annihilate the beam,0,,
obliterate the radiance,0,,
light off now.,0,,
illumination cease immediately,0,,
brightness halt instantly,0,,
glow terminate now,0,,
beam discontinue at once,0,,
radiance stop this moment,0,,
flip the light off,0,,
switch the glow off,0,,
toggle the brightness off,0,,
throw the beam off,0,,
snap the radiance off,0,,
click the luminosity off,0,,
end of light,0,,
termination of illumination,0,,
conclusion of brightness,0,,
finale of glow,0,,
cessation of radiance,0,,
completion of luminosity,0,,
power off light,0,,
electricity cut to glow,0,,
current stop to brightness,0,,
voltage halt to beam,0,,
energy disconnect to radiance,0,,
charge terminate to luminosity,0,,
put the light out,0,,
extinguish the glow,0,,
douse the brightness,0,,
quench the beam,0,,
smother the radiance,0,,
snuff the luminosity,0,,
turn the lamp off,0,,
deactivate the fixture,0,,
power down the illuminator,0,,
switch off the luminaire,0,,
disable the sconce,0,,
silence the lantern,0,,
turn the bulbs off,0,,
deenergize the filaments,0,,
power down the globes,0,,
switch off the LEDs,0,,
disable the tubes,0,,
silence the incandescents,0,,
switch that off,0,,
toggle that off,0,,
flip that off,0,,
shut that down,0,,
deactivate that,0,,
terminate that,0,,
depower the filament,0,,
shut off the globe,0,,
disconnect the LED,0,,
halt the incandescent,0,,
stop the halogen,0,,
end of bulb,0,,
termination of filament,0,,
conclusion of globe,0,,
finale of LED,0,,
cessation of incandescent,0,,
completion of halogen,0,,
kill the overhead light,0,,
murder the ceiling glow,0,,
destroy the top brightness,0,,
eliminate the aerial beam,0,,
annihilate the elevated radiance,0,,
obliterate the suspended luminosity,0,,
cut the bulb,0,,
sever the filament,0,,
slice the globe,0,,
chop the LED,0,,
disconnect the incandescent,0,,
interrupt the halogen,0,,
power off the bulb,0,,
electricity cut to filament,0,,
current stop to globe,0,,
voltage halt to LED,0,,
energy disconnect to incandescent,0,,
charge terminate to halogen,0,,
toggle off the filament,0,,
flip off the globe,0,,
shut off the LED,0,,
deactivate the incandescent,0,,
power down the halogen,0,,
bulbs off,0,,
filaments deactivated,0,,
globes terminated,0,,
LEDs silenced,0,,
incandescents disabled,0,,
halogens powered down,0,,
it’s so bright,0,,
illumination is extreme,0,,
luminosity is intense,0,,
radiance is blinding,0,,
glow is dazzling,0,,
brightness is glaring,0,,
it’s so sunny,0,,
daylight-like inside,0,,
sun-filled atmosphere,0,,
solar-bright environment,0,,
noon-day radiance,0,,
summer-like luminosity,0,,
done with bright,0,,
finished with illumination,0,,
completed with luminosity,0,,
over with radiance,0,,
concluded with glow,0,,
ended with brightness,0,,
make it darker,0,,
increase obscurity,0,,
enhance shadows,0,,
deepen gloom,0,,
intensify blackness,0,,
amplify dimness,0,,
save some energy,0,,
conserve electricity,0,,
preserve power,0,,
reduce consumption,0,,
economize voltage,0,,
husband resources,0,,
it’s bed time,0,,
sleep period begins,0,,
rest time commences,0,,
slumber phase starts,0,,
repose interval activates,0,,
